

Kode,Tanggal,Open,Close,Change(Rp),Change(%),Volume
EXCL,2019-08-01,3230,3300,70,2.20,7447100,
EXCL,2019-07-31,3360,3230,-70,-2.10,13820700,
EXCL,2019-07-30,3390,3300,30,0.90,47197900,
EXCL,2019-07-29,3180,3270,100,3.20,8809600,
EXCL,2019-07-28,3280,3170,-80,-2.50,14060600,
EXCL,2019-07-27,3280,3170,-80,-2.50,14060600,
EXCL,2019-07-26,3280,3170,-80,-2.50,14060600,
EXCL,2019-07-25,3120,3250,130,4.20,27474800,
EXCL,2019-07-24,3160,3120,-40,-1.27,7569800,
EXCL,2019-07-19,3110,3110,0,0.00,10942200,
EXCL,2019-07-18,2980,3110,130,4.36,21650300,
EXCL,2019-07-17,2940,2980,40,1.36,9777300,
EXCL,2019-07-16,2930,2940,10,0.34,7216200,
EXCL,2019-07-15,2860,2930,70,2.45,7362100,
EXCL,2019-07-12,2900,2860,-40,-1.38,5579900,
EXCL,2019-07-11,2890,2900,10,0.35,4126000,
EXCL,2019-07-10,2930,2890,-40,-1.37,4467600,
EXCL,2019-07-09,2860,2930,70,2.45,2796200,
EXCL,2019-07-08,2900,2860,-40,-1.38,3213600,
EXCL,2019-07-05,2850,2900,50,1.75,8873400,
EXCL,2019-07-04,2860,2850,-10,-0.35,7483000,
EXCL,2019-07-03,2960,2860,-100,-3.38,7888800,
EXCL,2019-07-02,2990,2960,-30,-1.00,4694000,
EXCL,2019-07-01,2980,2990,10,0.34,7193000,
EXCL,2019-06-28,2920,2980,60,2.05,16338700,
EXCL,2019-06-27,2920,2920,0,0.00,4830300,
EXCL,2019-06-26,2860,2920,60,2.10,4080800,
EXCL,2019-06-25,2860,2860,0,0.00,4768200,
EXCL,2019-06-24,2900,2860,-40,-1.38,2968700,
EXCL,2019-06-21,2990,2900,-90,-3.01,8630700,
EXCL,2019-06-20,2950,2990,40,1.36,10083200,
EXCL,2019-06-19,2910,2950,40,1.37,7574200,
EXCL,2019-06-18,2850,2910,60,2.11,6053800,
EXCL,2019-06-17,2860,2850,-10,-0.35,2026100,
EXCL,2019-06-14,2860,2860,0,0.00,5537200,
EXCL,2019-06-13,2900,2860,-40,-1.38,8567800,
EXCL,2019-06-12,2940,2900,-40,-1.36,6123100,
EXCL,2019-06-11,2940,2940,0,0.00,5801400,
EXCL,2019-06-10,2860,2940,80,2.80,14450100,
EXCL,2019-05-31,2900,2860,-40,-1.38,20433200,
EXCL,2019-05-29,2790,2900,110,3.94,9654100,
