

Kode,Tanggal,Open,Close,Change(Rp),Change(%),Volume
TLKM,2019-08-01,4300,4280,-20,-0.50,27204600,
TLKM,2019-07-31,4240,4300,30,0.70,172610000,
TLKM,2019-07-30,4270,4270,70,1.70,88417200,
TLKM,2019-07-29,4150,4200,40,1.00,44515800,
TLKM,2019-07-28,4160,4160,-50,-1.20,70952400,
TLKM,2019-07-27,4160,4160,-50,-1.20,70952400,
TLKM,2019-07-26,4160,4160,-50,-1.20,70952400,
TLKM,2019-07-25,4160,4210,20,0.50,49276300,
TLKM,2019-07-24,4250,4190,-60,-1.41,73904300,
TLKM,2019-07-19,4240,4270,30,0.71,60692800,
TLKM,2019-07-18,4230,4240,10,0.24,45408100,
TLKM,2019-07-17,4240,4230,-10,-0.24,32069800,
TLKM,2019-07-16,4280,4240,-40,-0.93,45461500,
TLKM,2019-07-15,4180,4280,100,2.39,66960500,
TLKM,2019-07-12,4270,4180,-90,-2.11,57088600,
TLKM,2019-07-11,4290,4270,-20,-0.47,25645900,
TLKM,2019-07-10,4350,4290,-60,-1.38,62529900,
TLKM,2019-07-09,4270,4350,80,1.87,124822400,
TLKM,2019-07-08,4280,4270,-10,-0.23,57903400,
TLKM,2019-07-05,4250,4280,30,0.71,50332800,
TLKM,2019-07-04,4240,4250,10,0.24,38459300,
TLKM,2019-07-03,4250,4240,-10,-0.24,63296200,
TLKM,2019-07-02,4220,4250,30,0.71,87999800,
TLKM,2019-07-01,4140,4220,80,1.93,79382300,
TLKM,2019-06-28,4090,4140,50,1.22,130153100,
TLKM,2019-06-27,3980,4090,110,2.76,94221200,
TLKM,2019-06-26,4010,3980,-30,-0.75,56092200,
TLKM,2019-06-25,3980,4010,30,0.75,42601100,
TLKM,2019-06-24,4040,3980,-60,-1.49,50525100,
TLKM,2019-06-21,4040,4040,0,0.00,154049700,
TLKM,2019-06-20,4100,4040,-60,-1.46,57673700,
TLKM,2019-06-19,3980,4100,120,3.02,100210400,
TLKM,2019-06-18,3900,3980,80,2.05,66112800,
TLKM,2019-06-17,3990,3900,-90,-2.26,60851700,
TLKM,2019-06-14,3990,3990,0,0.00,92466800,
TLKM,2019-06-13,3940,3990,50,1.27,115734700,
TLKM,2019-06-12,4020,3940,-80,-1.99,134724400,
TLKM,2019-06-11,4040,4020,-20,-0.50,88861700,
TLKM,2019-06-10,3900,4040,140,3.59,222522800,
TLKM,2019-05-31,3780,3900,120,3.17,194331700,
TLKM,2019-05-29,3690,3780,90,2.44,122534500,
TLKM,2019-05-28,3820,3690,-130,-3.40,322246900,
TLKM,2019-05-27,3750,3820,70,1.87,87146600,
TLKM,2019-05-24,3660,3750,90,2.46,87594500,
TLKM,2019-05-23,3540,3660,120,3.39,113281100,
TLKM,2019-05-22,3600,3540,-60,-1.67,63687000,
TLKM,2019-05-21,3600,3600,0,0.00,106104000,
TLKM,2019-05-20,3510,3600,90,2.56,82354400,
TLKM,2019-05-17,3600,3510,-90,-2.50,94437400,
TLKM,2019-05-16,3660,3600,-60,-1.64,107366200,
